Id,Domain,Region,Login,Crawling,Save the data to folder
1,youtu.be,EU,,,
2,telekom.de,EU,,,
3,linktr.ee,EU,,,
4,linkos.bg,EU,,,
5,google.de,EU,,,
6,amazon.de,EU,,,
7,installatiegereedschap.nl,EU,,,
8,google.fr,EU,,,
9,t-online.de,EU,,,
10,mobile.de,EU,,,
11,rzone.de,EU,,,
12,google.es,EU,,,
13,free.fr,EU,,,
14,google.it,EU,,,
15,amazon.fr,EU,,,
16,sapo.pt,EU,,,
17,lemonde.fr,EU,,,
18,amazon.es,EU,,,
19,wp.pl,EU,,,
20,amazon.it,EU,,,
21,monster.ie,EU,,,
22,google.pl,EU,,,
23,lefigaro.fr,EU,,,
24,allegro.pl,EU,,,
25,onet.pl,EU,,,
26,bild.de,EU,,,
27,seznam.cz,EU,,,
28,otto.de,EU,,,
29,redd.it,EU,,,
30,repubblica.it,EU,,,
31,delfi.lt,EU,,,
32,ebay.de,EU,,,
33,yukiworks.be,EU,,,
34,corriere.it,EU,,,
35,elmundo.es,EU,,,
36,focus.de,EU,,,
37,tagesschau.de,EU,,,
38,gandi-ns.fr,EU,,,
39,leparisien.fr,EU,,,
40,francetvinfo.fr,EU,,,
41,interia.pl,EU,,,
42,idnes.cz,EU,,,
43,ouest-france.fr,EU,,,
44,n-tv.de,EU,,,
45,leboncoin.fr,EU,,,
46,kleinanzeigen.de,EU,,,
47,ioam.de,EU,,,
48,20minutos.es,EU,,,
49,aftonbladet.se,EU,,,
50,olx.pl,EU,,,
51,ad.nl,EU,,,
52,lequipe.fr,EU,,,
53,monster.es,EU,,,
54,nu.nl,EU,,,
55,remove.bg,EU,,,
56,gazzetta.it,EU,,,
57,hln.be,EU,,,
58,marktplaats.nl,EU,,,
59,ebay.it,EU,,,
60,fr.de,EU,,,
61,merkur.de,EU,,,
62,ladepeche.fr,EU,,,
63,actu.fr,EU,,,
64,tvn24.pl,EU,,,
65,subito.it,EU,,,
66,emag.ro,EU,,,
67,ilmessaggero.it,EU,,,
68,zalando.de,EU,,,
69,novinky.cz,EU,,,
70,xnxx.es,EU,,,
71,index.hr,EU,,,
72,ilmeteo.it,EU,,,
73,mediaexpert.pl,EU,,,
74,idealista.it,EU,,,
75,iltalehti.fi,EU,,,
76,protothema.gr,EU,,,
77,otomoto.pl,EU,,,
78,eltiempo.es,EU,,,
79,jutarnji.hr,EU,,,
80,ekstrabladet.dk,EU,,,
81,tori.fi,EU,,,
82,toyhou.se,EU,,,
83,xvideos.es,EU,,,
84,librus.pl,EU,,,
85,bt.dk,EU,,,
86,leroymerlin.fr,EU,,,
87,njuskalo.hr,EU,,,
88,joyclub.de,EU,,,
89,case-battle.at,EU,,,
90,ladies.de,EU,,,
91,publi24.ro,EU,,,
92,skelbiu.lt,EU,,,
93,diretta.it,EU,,,
94,autoplius.lt,EU,,,
95,flashscore.fr,EU,,,
96,annunci69.it,EU,,,
97,livescore.cz,EU,,,
98,com.se,EU,,,
99,nirvam.it,EU,,,
100,agenciatributaria.gob.es,EU,,,
101,bato.si,EU,,,
102,impots.gouv.fr,EU,,,
103,simpli.fi,EU,,,
104,spiegel.de,EU,,,
105,5movierulz.at,EU,,,
106,filmywap.com.cy,EU,,,
107,superhosting.bg,EU,,,
108,google.nl,EU,,,
109,orange.fr,EU,,,
110,web.de,EU,,,
111,bund.de,EU,,,
112,infonline.de,EU,,,
113,ddnss.de,EU,,,
114,vsware.ie,EU,,,
115,telefonica.de,EU,,,
116,geoedge.be,EU,,,
117,welt.de,EU,,,
118,google.be,EU,,,
119,iiko.it,EU,,,
120,your-server.de,EU,,,
121,weborama.fr,EU,,,
122,epenztargep.hu,EU,,,
123,shorturl.at,EU,,,
124,teleboekhouden.nl,EU,,,
125,google.cz,EU,,,
126,google.pt,EU,,,
127,google.gr,EU,,,
128,zeit.de,EU,,,
129,google.at,EU,,,
130,google.ro,EU,,,
131,mpg.de,EU,,,
132,ccc.de,EU,,,
133,google.hu,EU,,,
134,vrt.be,EU,,,
135,lin.ee,EU,,,
136,haxx.se,EU,,,
137,google.se,EU,,,
138,heise.de,EU,,,
139,dns.pt,EU,,,
140,adscale.de,EU,,,
141,skroutz.gr,EU,,,
142,capisci.nl,EU,,,
143,univie.ac.at,EU,,,
144,curl.se,EU,,,
145,abc.es,EU,,,
146,admatic.de,EU,,,
147,google.dk,EU,,,
148,google.fi,EU,,,
149,rtve.es,EU,,,
150,home.pl,EU,,,
151,google.ie,EU,,,
152,gemius.pl,EU,,,
153,google.bg,EU,,,
154,kahoot.it,EU,,,
155,sueddeutsche.de,EU,,,
156,yle.fi,EU,,,
157,ionos.de,EU,,,
158,independent.ie,EU,,,
159,tagesspiegel.de,EU,,,
160,bahn.de,EU,,,
161,sl.pt,EU,,,
162,orf.at,EU,,,
163,service-public.fr,EU,,,
164,rte.ie,EU,,,
165,nos.nl,EU,,,
166,ansa.it,EU,,,
167,zdf.de,EU,,,
168,chip.de,EU,,,
169,liberation.fr,EU,,,
170,ndr.de,EU,,,
171,stern.de,EU,,,
172,justpaste.it,EU,,,
173,ardmediathek.de,EU,,,
174,aruba.it,EU,,,
175,serveriai.lt,EU,,,
176,libero.it,EU,,,
177,cwi.nl,EU,,,
178,rfi.fr,EU,,,
179,index.hu,EU,,,
180,e-recht24.de,EU,,,
181,ec-lyon.fr,EU,,,
182,loopia.se,EU,,,
183,telegraaf.nl,EU,,,
184,fraunhofer.de,EU,,,
185,superbet.ro,EU,,,
186,second-ns.de,EU,,,
187,cnil.fr,EU,,,
188,sky.it,EU,,,
189,derstandard.at,EU,,,
190,cnrs.fr,EU,,,
191,blogspot.de,EU,,,
192,www.gov.pl,EU,,,
193,telecomitalia.it,EU,,,
194,20minutes.fr,EU,,,
195,amazon.se,EU,,,
196,swr.de,EU,,,
197,siemens.de,EU,,,
198,lastampa.it,EU,,,
199,google.sk,EU,,,
200,dhl.de,EU,,,
201,immobilienscout24.de,EU,,,
202,lu.se,EU,,,
203,nazwa.pl,EU,,,
204,europapress.es,EU,,,
205,idealo.de,EU,,,
206,eldiario.es,EU,,,
207,amazon.nl,EU,,,
208,sfr.fr,EU,,,
209,transip.nl,EU,,,
210,expressen.se,EU,,,
211,gazeta.pl,EU,,,
212,cnr.it,EU,,,
213,svt.se,EU,,,
214,mediaset.it,EU,,,
215,pin.it,EU,,,
216,wetteronline.de,EU,,,
217,dr.dk,EU,,,
218,fotocasa.es,EU,,,
219,rae.es,EU,,,
220,elcorteingles.es,EU,,,
221,radiofrance.fr,EU,,,
222,e5.sk,EU,,,
223,francebleu.fr,EU,,,
224,goethe.de,EU,,,
225,strato.de,EU,,,
226,gesetze-im-internet.de,EU,,,
227,vinted.fr,EU,,,
228,uu.nl,EU,,,
229,poste.it,EU,,,
230,br.de,EU,,,
231,fanpage.it,EU,,,
232,boe.es,EU,,,
233,inps.it,EU,,,
234,ebay.fr,EU,,,
235,tripadvisor.fr,EU,,,
236,eleconomista.es,EU,,,
237,o2.pl,EU,,,
238,doctolib.fr,EU,,,
239,sport.es,EU,,,
240,websupport.sk,EU,,,
241,krone.at,EU,,,
242,laposte.fr,EU,,,
243,kicker.de,EU,,,
244,amazon.pl,EU,,,
245,larazon.es,EU,,,
246,pagesjaunes.fr,EU,,,
247,allocine.fr,EU,,,
248,ameli.fr,EU,,,
249,rtl.de,EU,,,
250,lesechos.fr,EU,,,
251,blogspot.fr,EU,,,
252,scoop.it,EU,,,
253,sudouest.fr,EU,,,
254,hosteurope.de,EU,,,
255,doctissimo.fr,EU,,,
256,monster.de,EU,,,
257,credit-agricole.fr,EU,,,
258,netnod.se,EU,,,
259,kth.se,EU,,,
260,personio-internal.de,EU,,,
261,blogspot.com.es,EU,,,
262,tripadvisor.es,EU,,,
263,autoscout24.de,EU,,,
264,thomann.de,EU,,,
265,stealth.si,EU,,,
266,rainews.it,EU,,,
267,eventim.de,EU,,,
268,blocket.se,EU,,,
269,uva.nl,EU,,,
270,elisa.fi,EU,,,
271,tripadvisor.it,EU,,,
272,surfnet.nl,EU,,,
273,rtl.nl,EU,,,
274,dn.se,EU,,,
275,volkswagen.de,EU,,,
276,tum.de,EU,,,
277,ilfattoquotidiano.it,EU,,,
278,certum.pl,EU,,,
279,rwth-aachen.de,EU,,,
280,unifi.it,EU,,,
281,wanadoo.fr,EU,,,
282,sonnenbatterie.de,EU,,,
283,aemet.es,EU,,,
284,agenziaentrate.gov.it,EU,,,
285,bayern.de,EU,,,
286,uni-heidelberg.de,EU,,,
287,tf1info.fr,EU,,,
